Date      , Rainfall_mm, Year, Month    , Day_of_Month, Day_of_Year, Week_of_Year, Is_Weekend, Cumulative_Monsoon_Rainfall_mm, Days_Since_Last_Rain
27-08-2015,         0  , 2015, August   ,           27,         239,           35,          0,                          115.5,                   25
28-08-2015,         0  , 2015, August   ,           28,         240,           35,          0,                          115.5,                   26
29-08-2015,         0  , 2015, August   ,           29,         241,           35,          0,                          115.5,                   27
30-08-2015,         0  , 2015, August   ,           30,         242,           36,          1,                          115.5,                   28
31-08-2015,         0  , 2015, August   ,           31,         243,           36,          0,                          115.5,                   29
01-09-2015,        15.7, 2015, September,            1,         244,           36,          0,                          131.2,                    0
02-09-2015,        30.1, 2015, September,            2,         245,           36,          0,                          161.3,                    0
03-09-2015,         6.2, 2015, September,            3,         246,           36,          0,                          167.5,                    0
04-09-2015,         0  , 2015, September,            4,         247,           36,          0,                          167.5,                    1
05-09-2015,         0  , 2015, September,            5,         248,           36,          0,                          167.5,                    2
06-09-2015,         0  , 2015, September,            6,         249,           37,          1,                          167.5,                    3
07-09-2015,         0  , 2015, September,            7,         250,           37,          0,                          167.5,                    4
08-09-2015,         0  , 2015, September,            8,         251,           37,          0,                          167.5,                    5
09-09-2015,         0  , 2015, September,            9,         252,           37,          0,                          167.5,                    6
10-09-2015,         0  , 2015, September,           10,         253,           37,          0,                          167.5,                    7
11-09-2015,         0  , 2015, September,           11,         254,           37,          0,                          167.5,                    8
12-09-2015,         0  , 2015, September,           12,         255,           37,          0,                          167.5,                    9
13-09-2015,         0  , 2015, September,           13,         256,           38,          1,                          167.5,                   10
14-09-2015,         0  , 2015, September,           14,         257,           38,          0,                          167.5,                   11
15-09-2015,         0  , 2015, September,           15,         258,           38,          0,                          167.5,                   12
16-09-2015,         0  , 2015, September,           16,         259,           38,          0,                          167.5,                   13
17-09-2015,         0  , 2015, September,           17,         260,           38,          0,                          167.5,                   14
18-09-2015,         0  , 2015, September,           18,         261,           38,          0,                          167.5,                   15
19-09-2015,         0  , 2015, September,           19,         262,           38,          0,                          167.5,                   16
20-09-2015,         0  , 2015, September,           20,         263,           39,          1,                          167.5,                   17
21-09-2015,         0  , 2015, September,           21,         264,           39,          0,                          167.5,                   18
22-09-2015,         0  , 2015, September,           22,         265,           39,          0,                          167.5,                   19
23-09-2015,         0  , 2015, September,           23,         266,           39,          0,                          167.5,                   20
24-09-2015,         0  , 2015, September,           24,         267,           39,          0,                          167.5,                   21
25-09-2015,         0  , 2015, September,           25,         268,           39,          0,                          167.5,                   22
26-09-2015,         0  , 2015, September,           26,         269,           39,          0,                          167.5,                   23
27-09-2015,         0  , 2015, September,           27,         270,           40,          1,                          167.5,                   24
28-09-2015,         0  , 2015, September,           28,         271,           40,          0,                          167.5,                   25
29-09-2015,         0  , 2015, September,           29,         272,           40,          0,                          167.5,                   26
30-09-2015,         0  , 2015, September,           30,         273,           40,          0,                          167.5,                   27
01-06-2016,         0  , 2016, June     ,            1,         153,           22,          0,                            0  ,                    1
02-06-2016,         0  , 2016, June     ,            2,         154,           22,          0,                            0  ,                    2
03-06-2016,         0  , 2016, June     ,            3,         155,           22,          0,                            0  ,                    3
04-06-2016,         0  , 2016, June     ,            4,         156,           22,          0,                            0  ,                    4
05-06-2016,         0  , 2016, June     ,            5,         157,           23,          1,                            0  ,                    5
06-06-2016,         0  , 2016, June     ,            6,         158,           23,          0,                            0  ,                    6
07-06-2016,         0  , 2016, June     ,            7,         159,           23,          0,                            0  ,                    7
08-06-2016,         0  , 2016, June     ,            8,         160,           23,          0,                            0  ,                    8
09-06-2016,         0  , 2016, June     ,            9,         161,           23,          0,                            0  ,                    9
10-06-2016,         0  , 2016, June     ,           10,         162,           23,          0,                            0  ,                   10
11-06-2016,         0  , 2016, June     ,           11,         163,           23,          0,                            0  ,                   11
12-06-2016,         0  , 2016, June     ,           12,         164,           24,          1,                            0  ,                   12
13-06-2016,         0  , 2016, June     ,           13,         165,           24,          0,                            0  ,                   13
14-06-2016,         0  , 2016, June     ,           14,         166,           24,          0,                            0  ,                   14
15-06-2016,         0  , 2016, June     ,           15,         167,           24,          0,                            0  ,                   15
16-06-2016,         0  , 2016, June     ,           16,         168,           24,          0,                            0  ,                   16
17-06-2016,         0  , 2016, June     ,           17,         169,           24,          0,                            0  ,                   17
18-06-2016,         0  , 2016, June     ,           18,         170,           24,          0,                            0  ,                   18
19-06-2016,         0  , 2016, June     ,           19,         171,           25,          1,                            0  ,                   19
20-06-2016,         0  , 2016, June     ,           20,         172,           25,          0,                            0  ,                   20
21-06-2016,         0  , 2016, June     ,           21,         173,           25,          0,                            0  ,                   21
22-06-2016,         0  , 2016, June     ,           22,         174,           25,          0,                            0  ,                   22
23-06-2016,         0  , 2016, June     ,           23,         175,           25,          0,                            0  ,                   23
24-06-2016,         0  , 2016, June     ,           24,         176,           25,          0,                            0  ,                   24
25-06-2016,         0  , 2016, June     ,           25,         177,           25,          0,                            0  ,                   25
26-06-2016,         0  , 2016, June     ,           26,         178,           26,          1,                            0  ,                   26
27-06-2016,         8.2, 2016, June     ,           27,         179,           26,          0,                            8.2,                    0
28-06-2016,        18.7, 2016, June     ,           28,         180,           26,          0,                           26.9,                    0
29-06-2016,         3.1, 2016, June     ,           29,         181,           26,          0,                           30  ,                    0
30-06-2016,         0  , 2016, June     ,           30,         182,           26,          0,                           30  ,                    1
01-07-2016,         0  , 2016, July     ,            1,         183,           26,          0,                           30  ,                    2
02-07-2016,         0  , 2016, July     ,            2,         184,           26,          0,                           30  ,                    3
03-07-2016,         0  , 2016, July     ,            3,         185,           27,          1,                           30  ,                    4
04-07-2016,         0  , 2016, July     ,            4,         186,           27,          0,                           30  ,                    5
05-07-2016,         0  , 2016, July     ,            5,         187,           27,          0,                           30  ,                    6
06-07-2016,        10.5, 2016, July     ,            6,         188,           27,          0,                           40.5,                    0
07-07-2016,        22.3, 2016, July     ,            7,         189,           27,          0,                           62.8,                    0
08-07-2016,         8.9, 2016, July     ,            8,         190,           27,          0,                           71.7,                    0
09-07-2016,         0  , 2016, July     ,            9,         191,           27,          0,                           71.7,                    1
10-07-2016,         0  , 2016, July     ,           10,         192,           28,          1,                           71.7,                    2
11-07-2016,         0  , 2016, July     ,           11,         193,           28,          0,                           71.7,                    3
12-07-2016,         1.2, 2016, July     ,           12,         194,           28,          0,                           72.9,                    0
13-07-2016,         0  , 2016, July     ,           13,         195,           28,          0,                           72.9,                    1
14-07-2016,         0  , 2016, July     ,           14,         196,           28,          0,                           72.9,                    2
15-07-2016,         0  , 2016, July     ,           15,         197,           28,          0,                           72.9,                    3
16-07-2016,         0  , 2016, July     ,           16,         198,           28,          0,                           72.9,                    4
17-07-2016,         0  , 2016, July     ,           17,         199,           29,          1,                           72.9,                    5
18-07-2016,        15.6, 2016, July     ,           18,         200,           29,          0,                           88.5,                    0
19-07-2016,        35.8, 2016, July     ,           19,         201,           29,          0,                          124.3,                    0
20-07-2016,        10.2, 2016, July     ,           20,         202,           29,          0,                          134.5,                    0
21-07-2016,         0  , 2016, July     ,           21,         203,           29,          0,                          134.5,                    1
22-07-2016,         0  , 2016, July     ,           22,         204,           29,          0,                          134.5,                    2
23-07-2016,         0  , 2016, July     ,           23,         205,           29,          0,                          134.5,                    3
24-07-2016,         0  , 2016, July     ,           24,         206,           30,          1,                          134.5,                    4
25-07-2016,         0  , 2016, July     ,           25,         207,           30,          0,                          134.5,                    5
26-07-2016,         0  , 2016, July     ,           26,         208,           30,          0,                          134.5,                    6
27-07-2016,         0  , 2016, July     ,           27,         209,           30,          0,                          134.5,                    7
28-07-2016,         0  , 2016, July     ,           28,         210,           30,          0,                          134.5,                    8
29-07-2016,         0  , 2016, July     ,           29,         211,           30,          0,                          134.5,                    9
30-07-2016,         0  , 2016, July     ,           30,         212,           30,          0,                          134.5,                   10
31-07-2016,         0  , 2016, July     ,           31,         213,           31,          1,                          134.5,                   11
01-08-2016,        15.2, 2016, August   ,            1,         214,           31,          0,                          149.7,                    0
02-08-2016,        30.5, 2016, August   ,            2,         215,           31,          0,                          180.2,                    0
03-08-2016,         8.7, 2016, August   ,            3,         216,           31,          0,                          188.9,                    0
04-08-2016,         0  , 2016, August   ,            4,         217,           31,          0,                          188.9,                    1
05-08-2016,         0  , 2016, August   ,            5,         218,           31,          0,                          188.9,                    2
06-08-2016,         0  , 2016, August   ,            6,         219,           31,          0,                          188.9,                    3
07-08-2016,         0  , 2016, August   ,            7,         220,           32,          1,                          188.9,                    4
08-08-2016,         0  , 2016, August   ,            8,         221,           32,          0,                          188.9,                    5
09-08-2016,         0  , 2016, August   ,            9,         222,           32,          0,                          188.9,                    6
10-08-2016,         0  , 2016, August   ,           10,         223,           32,          0,                          188.9,                    7
11-08-2016,         0  , 2016, August   ,           11,         224,           32,          0,                          188.9,                    8
12-08-2016,         0  , 2016, August   ,           12,         225,           32,          0,                          188.9,                    9
13-08-2016,         0  , 2016, August   ,           13,         226,           32,          0,                          188.9,                   10
14-08-2016,         0  , 2016, August   ,           14,         227,           33,          1,                          188.9,                   11
15-08-2016,         0  , 2016, August   ,           15,         228,           33,          0,                          188.9,                   12
16-08-2016,         0  , 2016, August   ,           16,         229,           33,          0,                          188.9,                   13
17-08-2016,         0  , 2016, August   ,           17,         230,           33,          0,                          188.9,                   14
18-08-2016,         0  , 2016, August   ,           18,         231,           33,          0,                          188.9,                   15
19-08-2016,         0  , 2016, August   ,           19,         232,           33,          0,                          188.9,                   16
20-08-2016,         0  , 2016, August   ,           20,         233,           33,          0,                          188.9,                   17
21-08-2016,         0  , 2016, August   ,           21,         234,           34,          1,                          188.9,                   18
22-08-2016,         0  , 2016, August   ,           22,         235,           34,          0,                          188.9,                   19
23-08-2016,         0  , 2016, August   ,           23,         236,           34,          0,                          188.9,                   20
24-08-2016,         0  , 2016, August   ,           24,         237,           34,          0,                          188.9,                   21
25-08-2016,         0  , 2016, August   ,           25,         238,           34,          0,                          188.9,                   22
26-08-2016,         0  , 2016, August   ,           26,         239,           34,          0,                          188.9,                   23
27-08-2016,         0  , 2016, August   ,           27,         240,           34,          0,                          188.9,                   24
28-08-2016,         0  , 2016, August   ,           28,         241,           35,          1,                          188.9,                   25
29-08-2016,         0  , 2016, August   ,           29,         242,           35,          0,                          188.9,                   26
30-08-2016,         0  , 2016, August   ,           30,         243,           35,          0,                          188.9,                   27
31-08-2016,         0  , 2016, August   ,           31,         244,           35,          0,                          188.9,                   28
01-09-2016,        10.1, 2016, September,            1,         245,           35,          0,                          199  ,                    0
02-09-2016,        25.4, 2016, September,            2,         246,           35,          0,                          224.4,                    0
03-09-2016,         5.2, 2016, September,            3,         247,           35,          0,                          229.6,                    0
04-09-2016,         0  , 2016, September,            4,         248,           36,          1,                          229.6,                    1
05-09-2016,         0  , 2016, September,            5,         249,           36,          0,                          229.6,                    2
06-09-2016,         0  , 2016, September,            6,         250,           36,          0,                          229.6,                    3
07-09-2016,         0  , 2016, September,            7,         251,           36,          0,                          229.6,                    4
08-09-2016,         0  , 2016, September,            8,         252,           36,          0,                          229.6,                    5
09-09-2016,         0  , 2016, September,            9,         253,           36,          0,                          229.6,                    6
10-09-2016,         0  , 2016, September,           10,         254,           36,          0,                          229.6,                    7
11-09-2016,         0  , 2016, September,           11,         255,           37,          1,                          229.6,                    8
12-09-2016,         0  , 2016, September,           12,         256,           37,          0,                          229.6,                    9
13-09-2016,         0  , 2016, September,           13,         257,           37,          0,                          229.6,                   10
14-09-2016,         0  , 2016, September,           14,         258,           37,          0,                          229.6,                   11
15-09-2016,         0  , 2016, September,           15,         259,           37,          0,                          229.6,                   12
16-09-2016,         0  , 2016, September,           16,         260,           37,          0,                          229.6,                   13
17-09-2016,         0  , 2016, September,           17,         261,           37,          0,                          229.6,                   14
18-09-2016,         0  , 2016, September,           18,         262,           38,          1,                          229.6,                   15
19-09-2016,         0  , 2016, September,           19,         263,           38,          0,                          229.6,                   16
20-09-2016,         0  , 2016, September,           20,         264,           38,          0,                          229.6,                   17
21-09-2016,         0  , 2016, September,           21,         265,           38,          0,                          229.6,                   18
22-09-2016,         0  , 2016, September,           22,         266,           38,          0,                          229.6,                   19
23-09-2016,         0  , 2016, September,           23,         267,           38,          0,                          229.6,                   20
24-09-2016,         0  , 2016, September,           24,         268,           38,          0,                          229.6,                   21
25-09-2016,         0  , 2016, September,           25,         269,           39,          1,                          229.6,                   22
26-09-2016,         0  , 2016, September,           26,         270,           39,          0,                          229.6,                   23
27-09-2016,         0  , 2016, September,           27,         271,           39,          0,                          229.6,                   24
28-09-2016,         0  , 2016, September,           28,         272,           39,          0,                          229.6,                   25
29-09-2016,         0  , 2016, September,           29,         273,           39,          0,                          229.6,                   26
30-09-2016,         0  , 2016, September,           30,         274,           39,          0,                          229.6,                   27
01-06-2017,         0  , 2017, June     ,            1,         152,           22,          0,                            0  ,                    1
02-06-2017,         0  , 2017, June     ,            2,         153,           22,          0,                            0  ,                    2
03-06-2017,         0  , 2017, June     ,            3,         154,           22,          0,                            0  ,                    3
04-06-2017,         0  , 2017, June     ,            4,         155,           23,          1,                            0  ,                    4
05-06-2017,         0  , 2017, June     ,            5,         156,           23,          0,                            0  ,                    5
06-06-2017,         0  , 2017, June     ,            6,         157,           23,          0,                            0  ,                    6
07-06-2017,         0  , 2017, June     ,            7,         158,           23,          0,                            0  ,                    7
08-06-2017,         0  , 2017, June     ,            8,         159,           23,          0,                            0  ,                    8
09-06-2017,         0  , 2017, June     ,            9,         160,           23,          0,                            0  ,                    9
10-06-2017,         0  , 2017, June     ,           10,         161,           23,          0,                            0  ,                   10
11-06-2017,         0  , 2017, June     ,           11,         162,           24,          1,                            0  ,                   11
12-06-2017,         0  , 2017, June     ,           12,         163,           24,          0,                            0  ,                   12
13-06-2017,         0  , 2017, June     ,           13,         164,           24,          0,                            0  ,                   13
14-06-2017,         0  , 2017, June     ,           14,         165,           24,          0,                            0  ,                   14
15-06-2017,         0  , 2017, June     ,           15,         166,           24,          0,                            0  ,                   15
16-06-2017,         0  , 2017, June     ,           16,         167,           24,          0,                            0  ,                   16
17-06-2017,         0  , 2017, June     ,           17,         168,           24,          0,                            0  ,                   17
18-06-2017,         0  , 2017, June     ,           18,         169,           25,          1,                            0  ,                   18
19-06-2017,         0  , 2017, June     ,           19,         170,           25,          0,                            0  ,                   19
20-06-2017,         0  , 2017, June     ,           20,         171,           25,          0,                            0  ,                   20
21-06-2017,         0  , 2017, June     ,           21,         172,           25,          0,                            0  ,                   21
22-06-2017,         0  , 2017, June     ,           22,         173,           25,          0,                            0  ,                   22
23-06-2017,         0  , 2017, June     ,           23,         174,           25,          0,                            0  ,                   23
24-06-2017,         0  , 2017, June     ,           24,         175,           25,          0,                            0  ,                   24
25-06-2017,         0  , 2017, June     ,           25,         176,           26,          1,                            0  ,                   25
26-06-2017,        10.5, 2017, June     ,           26,         177,           26,          0,                           10.5,                    0
27-06-2017,        25.2, 2017, June     ,           27,         178,           26,          0,                           35.7,                    0
28-06-2017,         8.1, 2017, June     ,           28,         179,           26,          0,                           43.8,                    0
29-06-2017,         0  , 2017, June     ,           29,         180,           26,          0,                           43.8,                    1
30-06-2017,         0  , 2017, June     ,           30,         181,           26,          0,                           43.8,                    2
01-07-2017,         0  , 2017, July     ,            1,         182,           26,          0,                           43.8,                    3
02-07-2017,         0  , 2017, July     ,            2,         183,           27,          1,                           43.8,                    4
03-07-2017,        18.9, 2017, July     ,            3,         184,           27,          0,                           62.7,                    0
04-07-2017,        45.3, 2017, July     ,            4,         185,           27,          0,                          108  ,                    0
05-07-2017,        10.1, 2017, July     ,            5,         186,           27,          0,                          118.1,                    0
06-07-2017,         0  , 2017, July     ,            6,         187,           27,          0,                          118.1,                    1
07-07-2017,         0  , 2017, July     ,            7,         188,           27,          0,                          118.1,                    2
08-07-2017,         0  , 2017, July     ,            8,         189,           27,          0,                          118.1,                    3
09-07-2017,         0  , 2017, July     ,            9,         190,           28,          1,                          118.1,                    4
10-07-2017,         0  , 2017, July     ,           10,         191,           28,          0,                          118.1,                    5
11-07-2017,         0  , 2017, July     ,           11,         192,           28,          0,                          118.1,                    6
12-07-2017,         0  , 2017, July     ,           12,         193,           28,          0,                          118.1,                    7
13-07-2017,         0  , 2017, July     ,           13,         194,           28,          0,                          118.1,                    8
14-07-2017,         0  , 2017, July     ,           14,         195,           28,          0,                          118.1,                    9
15-07-2017,         0  , 2017, July     ,           15,         196,           28,          0,                          118.1,                   10
16-07-2017,         0  , 2017, July     ,           16,         197,           29,          1,                          118.1,                   11
17-07-2017,         0  , 2017, July     ,           17,         198,           29,          0,                          118.1,                   12
18-07-2017,         0  , 2017, July     ,           18,         199,           29,          0,                          118.1,                   13
19-07-2017,         0  , 2017, July     ,           19,         200,           29,          0,                          118.1,                   14
20-07-2017,         0  , 2017, July     ,           20,         201,           29,          0,                          118.1,                   15
21-07-2017,         0  , 2017, July     ,           21,         202,           29,          0,                          118.1,                   16
22-07-2017,         0  , 2017, July     ,           22,         203,           29,          0,                          118.1,                   17
23-07-2017,         0  , 2017, July     ,           23,         204,           30,          1,                          118.1,                   18
24-07-2017,         0  , 2017, July     ,           24,         205,           30,          0,                          118.1,                   19
25-07-2017,         0  , 2017, July     ,           25,         206,           30,          0,                          118.1,                   20
26-07-2017,         0  , 2017, July     ,           26,         207,           30,          0,                          118.1,                   21
27-07-2017,         0  , 2017, July     ,           27,         208,           30,          0,                          118.1,                   22
28-07-2017,         0  , 2017, July     ,           28,         209,           30,          0,                          118.1,                   23
